Monthly Mean Avg Temperature for LINCOLN 11 SW, NE
For each month: monthly value and monthly number of missing days

Year, Jan, mcnt, Feb, mcnt, Mar, mcnt, Apr, mcnt, May, mcnt, Jun, mcnt, Jul, mcnt, Aug, mcnt, Sep, mcnt, Oct, mcnt, Nov, mcnt, Dec, mcnt, Annual
2002, M, 16, M, 8, M, 11, 52.1, 0, 59.0, 2, 75.9, 2, 79.6, 0, 75.1, 0, 67.2, 0, 46.3, 0, 38.5, 2, 33.6, 0, M
2003, 25.4, 0, 25.5, 0, 41.1, 0, 52.8, 0, 58.6, 0, 67.4, 0, 78.5, 0, 77.0, 0, 62.7, 1, 56.0, 0, 36.9, 2, 30.8, 0, 51.3
2004, 22.4, 0, 25.4, 0, 44.1, 0, 53.2, 0, 62.5, 0, 66.8, 0, 70.7, 0, 70.1, 0, 70.3, 2, 55.0, 0, 41.8, 0, 31.2, 0, 51.1
2005, 22.1, 0, 34.6, 0, 41.5, 0, 53.9, 0, 61.4, 0, 74.6, 0, 78.5, 1, 74.5, 0, 70.9, 0, 55.4, 0, 42.9, 0, 25.8, 0, 53.0
2006, 37.9, 0, 30.4, 0, 39.4, 0, 56.2, 0, 63.7, 0, 73.4, 1, 79.1, 0, 74.7, 0, 62.2, 0, 50.4, 0, 41.1, 0, 34.6, 0, 53.7
2007, 24.5, 0, 24.1, 0, 47.7, 0, 50.1, 0, 64.7, 1, 70.4, 0, 77.2, 0, 78.2, 0, 66.1, 0, 56.9, 0, 40.3, 0, 24.5, 0, 52.2
2008, 22.6, 0, 25.5, 0, 38.4, 0, 46.5, 1, 59.1, 0, M, 6, 75.5, 0, 72.4, 0, 64.6, 0, 53.8, 0, 40.1, 0, 23.2, 0, M
2009, 24.8, 0, 32.2, 0, 40.1, 0, 49.8, 0, 62.4, 0, 70.6, 1, 71.5, 0, 70.7, 0, 63.6, 0, 46.0, 0, 45.7, 0, 19.5, 0, 49.8
2010, 18.4, 0, 22.3, 0, 41.3, 0, 55.7, 0, 59.7, 1, 72.4, 0, 76.4, 0, 76.7, 0, 65.6, 0, 56.7, 0, 39.5, 0, 25.7, 0, 51.0
2011, 19.3, 0, 27.8, 0, 39.2, 1, 51.6, 0, 61.3, 0, 70.9, 0, 79.7, 0, 74.5, 0, 61.4, 0, 56.5, 0, 41.2, 0, 30.6, 0, 51.3
2012, 31.6, 0, 30.7, 0, 55.4, 0, 56.3, 1, 66.4, 0, 74.3, 0, 82.6, 0, 74.2, 0, 64.9, 0, 50.8, 0, 43.0, 0, 29.1, 0, 55.0
2013, 26.2, 0, 30.3, 0, 35.4, 0, 46.1, 0, 61.1, 1, 70.5, 0, 74.4, 0, 75.2, 0, 70.2, 0, 52.2, 0, 37.8, 0, 23.5, 0, 50.3
2014, 22.7, 0, 23.2, 0, 37.0, 0, 51.7, 0, 63.3, 0, 71.2, 0, 72.1, 0, 74.2, 2, 65.2, 0, 55.5, 0, 34.1, 0, 30.9, 0, 50.1
2015, 28.8, 0, 21.9, 0, 44.2, 0, 53.6, 0, 60.5, 0, 71.7, 1, 75.0, 0, 72.0, 0, 71.1, 0, 56.8, 0, 44.9, 0, 33.5, 0, 53.0
2016, 26.2, 0, M, 12, M, 31, M, 30, M, 31, M, 30, M, 31, M, 31, M, 30, M, 31, M, 30, M, 31, M
Mean, 25.2, , 27.2, , 41.9, , 52.1, , 61.7, , 71.5, , 76.5, , 74.2, , 66.1, , 53.5, , 40.6, , 28.3, , 51.8
Max, 37.9, , 34.6, , 55.4, , 56.3, , 66.4, , 75.9, , 82.6, , 78.2, , 71.1, , 56.9, , 45.7, , 34.6, , 55.0
Min, 18.4, , 21.9, , 35.4, , 46.1, , 58.6, , 66.8, , 70.7, , 70.1, , 61.4, , 46.0, , 34.1, , 19.5, , 49.8
