Date Collected,Number in collection,Common Name,Collection Location,System Type,TL,SL,Sex,Age,Age_Class,Small_Melanophores ,Medium_Melanophores,Large_Melanophores ,Total_Melanophores,Turbidity,Current Velocity (meters/second),Water_Temp ,Substrate_Type,Water_Depth,Neascus
9/27/2013,SH-1,Shoal Chub,Elkhorn River,Tributary,42,39,F,2,2,176,17,0,193,46.35,0.42,76,Medium Gravel,1.5,0
9/27/2013,SH-2,Shoal Chub,Elkhorn River,Tributary,43,34,F,2,2,234,39,4,277,46.35,0.42,76,Medium Gravel,1.5,0
9/27/2013,SH-3,Shoal Chub,Elkhorn River,Tributary,38,31,M,1,1,307,41,5,353,46.35,0.42,76,Medium Gravel,1.5,0
9/27/2013,SH-4,Shoal Chub,Elkhorn River,Tributary,46,37,F (gravid),2,2,568,40,4,612,46.35,0.42,76,Medium Gravel,1.5,0
9/27/2013,SH-5,Shoal Chub,Elkhorn River,Tributary,46,32,F (gravid),2,2,451,81,5,537,46.35,0.42,76,Medium Gravel,1.5,0
9/27/2013,SH-6,Shoal Chub,Elkhorn River,Tributary,43,35,F,2,2,327,30,4,361,46.35,0.42,76,Medium Gravel,1.5,0
9/27/2013,SH-7,Shoal Chub,Elkhorn River,Tributary,39,31,M,2,2,359,25,1,385,46.35,0.42,76,Medium Gravel,1.5,0
9/27/2013,SH-8,Shoal Chub,Elkhorn River,Tributary,42,34,F,2,2,446,55,2,503,46.35,0.42,76,Medium Gravel,1.5,0
9/27/2013,SH-9,Shoal Chub,Elkhorn River,Tributary,45,36,F,2,2,276,62,1,339,46.35,0.42,76,Medium Gravel,1.5,0
4/22/2014,SH-12,Shoal Chub,Elkhorn River,Tributary,49,40,F,2,2,1017,65,1,1083,163,0.42,76,Medium Gravel,4.6,0
4/22/2014,SH-13,Shoal Chub,Elkhorn River,Tributary,42,35,M,2,2,352,40,2,394,163,0.42,76,Medium Gravel,4.6,0
4/22/2014,SH-14,Shoal Chub,Elkhorn River,Tributary,42,33,M,2,2,561,36,2,599,163,0.42,76,Medium Gravel,4.6,0
4/22/2014,SH-15,Shoal Chub,Elkhorn River,Tributary,41,33,M,2,2,504,50,4,558,163,0.42,76,Medium Gravel,4.6,0
